Isim Soyisim;Þehir;Sehir Yas Ortalamasi;Bölge;Parti;Doðum Yýlý;Milletvekili Yas;Doðum Yeri;Ýþ Alanlarý;Siyasete Baþladýðý Parti;Evli;Çocuk;Üniversite;Bölüm;En Yüksek Eðitim;Diller;;Cinsiyet;;;;;;;;;;;
Abdullah DOÐRU;ADANA;;Akdeniz;AK Parti;1965;55;Malatya;Ýþinsaný;RP;Evli;4;Çukurova;Ziraat Mühendisliði;Lisans;Ýngilizce;Arapça;Erkek;;;;;;;;;;;
Ahmet ZENBÝLCÝ;ADANA;;Akdeniz;AK Parti;1966;54;Adana;Bürokrat;;Evli;5;Çukurova;Kamu Yönetimi;Yükseklisans;Arapça;Ýngilizce;Erkek;;;;;;;;;;;
Ayhan BARUT;ADANA;;Akdeniz;CHP;1964;56;Adana;Ýþinsaný;;Evli;2;Çukurova;Ziraat Mühendisliði;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ayþe Sibel ERSOY;ADANA;;Akdeniz;MHP;1964;56;Adana;Eczacý;;Evli;2;Gazi;Farmakoloji;Yükseklisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Burhanettin BULUT;ADANA;;Akdeniz;CHP;1970;50;Bitlis;Eczacý;;Evli;2;Ege;Eczacýlýk;Lisans;0;;Erkek;;;;;;;;;;;
Ýsmail KONCUK;ADANA;;Akdeniz;BAÐIMSIZ;1959;61;Adana;Öðretmen;;Evli;2;Eskiþehir;Ýngilizce;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Jülide SARIEROÐLU;ADANA;;Akdeniz;AK Parti;1979;41;Adana;Siyasetçi;;Bekar;0;Gazi;ÇEKO;Lisans;0;0;Kadýn;;;;;;;;;;;
Kemal PEKÖZ;ADANA;;Akdeniz;HDP;1951;69;Malatya;Gazeteci;;Evli;3;Muðla;Ýþletme;Yükseklisans;Kürtçe;Fransýzca;Erkek;;;;;;;;;;;
Mehmet Metanet ÇULHAOÐLU;ADANA;;Akdeniz;ÝYÝ Parti;1954;66;Adana;Doktor;;Evli;?;Ýstanbul;Týp;Yükseklisans;Ýngilizce;Almanca;Erkek;;;;;;;;;;;
Mehmet Þükrü ERDÝNÇ;ADANA;;Akdeniz;AK Parti;1976;44;Adýyaman;Avukat;;Evli;4;Çukurova;Hukuk;Yükseklisans;Ýngilizce;Arapça;Erkek;;;;;;;;;;;
Muharrem VARLI;ADANA;;Akdeniz;MHP;1969;51;Adana;Öðretmen;;Evli;2;Konya;Tarih;Lisans;0;;Erkek;;;;;;;;;;;
Müzeyyen ÞEVKÝN;ADANA;;Akdeniz;CHP;1961;59;Adana;Mühendis;;Evli;2;Çukurova;Mühendislik;Doktora;Ýngilizce;;Kadýn;;;;;;;;;;;
Orhan SÜMER;ADANA;;Akdeniz;CHP;1963;57;Adana;Ýþinsaný;;Evli;2;Lise;0;0;0;0;Erkek;;;;;;;;;;;
Tamer DAÐLI;ADANA;;Akdeniz;AK Parti;1970;50;Adana;Bankacý;;Evli;3;Konya;Kamu Yönetimi;Yükseklisans;0;0;Erkek;;;;;;;;;;;
Tulay HATIMOÐULLARI ORUÇ;ADANA;;Akdeniz;HDP;1977;43;Antakya;Siyasetçi;;Evli;?;Anadolu;Ekonomi;Lisans;Arapça;;Kadýn;;;;;;;;;;;
Abdurrahman TUTDERE;ADIYAMAN;;Güneydoðu Anadolu;CHP;1976;44;Adýyaman;Avukat;;Evli;2;Atatürk;Hukuk;Lisans;0;0;Erkek;;;;;;;;;;;
Ahmet AYDIN;ADIYAMAN;;Güneydoðu Anadolu;AK Parti;1971;49;Adýyaman;Avukat;;Evli;3;Ýstanbul;Hukuk;Yükseklisans;0;0;Erkek;;;;;;;;;;;
Ýbrahim Halil FIRAT;ADIYAMAN;;Güneydoðu Anadolu;AK Parti;1973;47;Adýyaman;Avukat;;Evli;3;Marmara;Hukuk;Lisans;Ýngilizce;Kürtçe;Erkek;;;;;;;;;;;
Muhammed Fatih TOPRAK;ADIYAMAN;;Güneydoðu Anadolu;AK Parti;1985;35;Adýyaman;Avukat;;Evli;2;Hamburg;Hukuk;Lisans;Almanca;Ýngilizce;Erkek;;;;;;;;;;;
Yakup TAÞ;ADIYAMAN;;Güneydoðu Anadolu;AK Parti;1959;61;Adýyaman;Ýþinsaný;;Evli;6;Adýyaman;;;Kürtçe;;Erkek;;;;;;;;;;;
Ali ÖZKAYA;AFYONKARAHÝSAR;;Ege;AK Parti;1970;50;Afyonkarahisar;Avukat;;Evli;3;Ankara;Hukuk;Lisans;Fransýzca;Arapça;Erkek;;;;;;;;;;;
Burcu KÖKSAL;AFYONKARAHÝSAR;;Ege;CHP;1980;40;Afyonkarahisar;Avukat;;Evli;1;Ýstanbul;Hukuk;Lisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Gültekin UYSAL;AFYONKARAHÝSAR;;Ege;DP;1976;44;Afyonkarahisar;Siyasetçi;;Evli;2;Bilkent;Kamu Yönetimi;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ýbrahim YURDUNUSEVEN;AFYONKARAHÝSAR;;Ege;AK Parti;1969;51;Afyonkarahisar;Avukat;;Evli;3;Ankara;Hukuk;Lisans;Almanca;;Erkek;;;;;;;;;;;
Mehmet TAYTAK;AFYONKARAHÝSAR;;Ege;MHP;1959;61;Afyonkarahisar;Öðretmen;;Evli;2;Gazi;Eðitim;Lisans;0;;Erkek;;;;;;;;;;;
Veysel EROÐLU;AFYONKARAHÝSAR;;Ege;AK Parti;1948;72;Afyonkarahisar;Akademisyen;;Evli;4;ÝTÜ;Mühendis;Doktora;Ýngilizce;;Erkek;;;;;;;;;;;
Abdullah KOÇ;AÐRI;;Doðu Anadolu;HDP;1972;48;Aðrý;Avukat;;Evli;2;Selçuk;Hukuk;Lisans;Kürtçe;Ýngilizce;Erkek;;;;;;;;;;;
Berdan ÖZTÜRK;AÐRI;;Doðu Anadolu;HDP;1980;40;Aðrý;Avukat;;Bekar;0;Londra;Hukuk;Yükseklisans;Kürtçe;Ýngilizce;Erkek;;;;;;;;;;;
Dirayet Dilan TAÞDEMÝR;AÐRI;;Doðu Anadolu;HDP;1982;38;Aðrý;Akademisyen;;Bekar;0;Mersin;Sosyoloji;Lisans;Almanca;;Kadýn;;;;;;;;;;;
Ekrem ÇELEBÝ;AÐRI;;Doðu Anadolu;AK Parti;1965;55;Aðrý;Bürokrat;;Evli;2;Çukurova;Ýþletme;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ayhan EREL;AKSARAY;;Ýç Anadolu;ÝYÝ Parti;1957;63;Gümüþhane;Avukat;;Evli;2;Ankara;Hukuk;Lisans;0;;Erkek;;;;;;;;;;;
Cengiz AYDOÐDU;AKSARAY;;Ýç Anadolu;AK Parti;1958;62;Aksaray;Bürokrat;;Evli;2;Ankara;Siyasal;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ýlknur ÝNCEÖZ;AKSARAY;;Ýç Anadolu;AK Parti;1973;47;Aksaray;Avukat;;Evli;1;Ýstanbul;Hukuk;Lisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Ramazan KAÞLI;AKSARAY;;Ýç Anadolu;MHP;1969;51;Aksaray;Ýþinsaný;;Evli;2;0;0;0;Ýngilizce;;Erkek;;;;;;;;;;;
Hasan ÇÝLEZ;AMASYA;;Karadeniz;AK Parti;1974;46;Amasya;Ýþinsaný;;Evli;2;Atatürk;Ýktisat;Lisans;0;;Erkek;;;;;;;;;;;
Mustafa TUNCER;AMASYA;;Karadeniz;CHP;1971;49;Amasya;Avukat;;Evli;2;Ýstanbul;Hukuk;Lisans;Fransýzca;;Erkek;;;;;;;;;;;
Mustafa Levent KARAHOCAGÝL;AMASYA;;Karadeniz;AK Parti;1959;61;Erzurum;Öðretmen;;Evli;2;Atatürk;Eðitim;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ahmet Haluk KOÇ;ANKARA;;Ýç Anadolu;CHP;1954;66;Ýstanbul;Doktor;;Evli;2;Ankara;Týp;Doktora;Fransýzca;Ýngilizce;Erkek;;;;;;;;;;;
Ali Haydar HAKVERDÝ;ANKARA;;Ýç Anadolu;CHP;1979;41;Çorum;Avukat;;Evli;1;Marmara;Hukuk;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ali Ýhsan ARSLAN;ANKARA;;Ýç Anadolu;AK Parti;1969;51;Ankara;Ýþinsaný;;Evli;?;Ankara;Ýletiþim;Lisans;0;;Erkek;;;;;;;;;;;
Arife POLAT DÜZGÜN;ANKARA;;Ýç Anadolu;AK Parti;1969;51;Ankara;Doktor;;Evli;2;Gazi;Týp;Doktora;Ýngilizce;;Kadýn;;;;;;;;;;;
Asuman ERDOÐAN;ANKARA;;Ýç Anadolu;AK Parti;1980;40;Ankara;Öðretmen;;Evli;5;Boðaziçi;Ýngilizce;Lisans;Ýngilizce;Fransýzca;Kadýn;;;;;;;;;;;
Ayhan ALTINTAÞ;ANKARA;;Ýç Anadolu;ÝYÝ Parti;1958;62;Yozgat;Akademisyen;;Evli;2;Ohio;Mühendis;Doktora;Ýngilizce;Almanca;Erkek;;;;;;;;;;;
Barýþ AYDIN;ANKARA;;Ýç Anadolu;AK Parti;1975;45;Ankara;Ýþinsaný;;Evli;3;York;Ýþletme;Doktora;Ýngilizce;;Erkek;;;;;;;;;;;
Bülent KUÞOÐLU;ANKARA;;Ýç Anadolu;CHP;1958;62;Erzurum;Bürokrat;;Evli;2;Ankara;Siyasal;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Durmuþ YILMAZ;ANKARA;;Ýç Anadolu;ÝYÝ Parti;1947;73;Uþak;Ekonomist;;Evli;3;Londra;Ekonomi;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
